title,salary,location,experience,education,labels,hrname,hrtitle,corname,jobdescription,corpdescription,industry,numpeople,position
业务发展经理,12-18k,昆明-西山区,3-5年,大专,"
            
                <span>年终奖金</span>
            
                <span>股票期权</span>
            
                <span>绩效奖金</span>
            
                <span>交通补助</span>
            
                <span>领导好</span>
            
                <span>发展空间大</span>
            
                <span>弹性工作</span>
            
                <span>带薪年假</span>
            
                <span>年度旅游</span>
            
                <span>定期体检</span>
            
        ",黄女士,hrbp, · 长春圣博玛生物材料有限公司,"公司在筹备上市，全国各省份都需要优秀人才，例如：北京、上海、广州、深圳、杭州、宁波、成都、西安等，销售均为居家办公，优秀人才可做管理者管理团队，欢迎优秀人才加入


岗位职责：

1.负责公司艾维岚童颜针 产品的销售，不限于机构的拜访、客情的维护、为医院和公司带来价值；
2.根据企业或产品的定位，拟定管辖区域内的客户开发、管理和拜访的流程与服务标准，协助营销团队找出关键业绩增长点及产品开发的目标，竞品进院壁垒的建立；
3.建立客户档案，并描述客户的学术观点及变化，负责公司全产品的准入和运营；
4.实施客户分类管理，洞察不同级别客户的需求，根据客户需求，设计中长期的品牌学术项目；

任职要求：
1.大专及以上学历，医药、市场营销相关专业；
2.3年以上销售工作经验，医美产品销售工作2年以上经验；
3.有较好的语言表达能力，思维活跃，分析力强；
4.敬业，工作积极主动，有良好的工作能力和团队合作意识；
5.善于与客户建立良好的合作关系，有较强的客户沟通能力、说服力和客户谈判技巧。","长春圣博玛生物材料有限公司成立于2007年，是依托中国科学院长春应用化学研究所组建的高新技术企业，公司注册资本2550万元。主要从事无源植入医疗器械的研发、生产与销售。是国内唯一规模化生产医用级PLA、PLGA、PCL、mPEG-PLGA等生物可降解高分子材料的企业。主要致力于骨科、运动医学、3D打印定制化产品、整形美容、神经外科、口腔等高端无源植入器械的开发和生产。
公司拥有生物、医学、材料、机械等高级技术人员100余人，本科及以上学历员工占70%以上，在生物材料及其医疗器件研发方面具有丰富的经验。主要技术团队成员专业背景覆盖着高分子合成化学、高分子加工、化学工程、基础医学、计算机技术与应用等领域。公司拥有强大的医生顾问团队和产品设计团队，针对临床问题和患者需求，提供整体的临床解决方案。
公司建有3500平方米的综合实验楼及3500平方米GMP生产车间，具备先进的生产加工设备和完善的质量管理体系，已通过了ISO13485以及ISO9001质量体系认证，并获得德国莱茵认证。依托单位在生物材料领域具有国际先进、国内领先的新产品研制条件，尤其在产品合成、加工、封装及测试条件以及市场信息等方面有着充分的实力。
公司先后被各级政府认定为“国际科技合作示范基地、长春新材料产业技术创新战略联盟成员单位、长春市企业技术中心示范单位、吉林省第三批博士后创业基地，院士专家工作站、吉林省聚乳酸生物材料创新中心”等。通过产学研这条纽带，与吉林大学化学院、吉林大学第一医院、第二医院、中日联谊医院、东北师范大学、北京大学第三临床医院、哈尔滨医科大学第二医院，中国医科大学、盛京医院等多家单位建立了紧密合作关系。
长春圣博玛不做既有科技的追随者，只做创造未来的领军人。",医疗器械,100-499人,昆明-西山区云南省第一人民医院总院 
芯片DFT工程师,30-60k·15薪,北京,经验不限,统招本科,"
            
                <span>年终奖金</span>
            
                <span>股票期权</span>
            
                <span>绩效奖金</span>
            
                <span>五险一金</span>
            
                <span>交通补助</span>
            
                <span>餐费补贴</span>
            
                <span>加班补贴</span>
            
                <span>领导好</span>
            
                <span>发展空间大</span>
            
                <span>弹性工作</span>
            
        ",邓先生,创始人, · 锐思智芯,"12薪+2-6个月年终奖

芯片DFT工程师
职位职责：
1、负责ASIC芯片中的DFT相关工作，包括Scan，MBIST，ATPG，BoundaryScan等等；
2、和其他团队合作，完成芯片设计过程中相关的Timing/Power-IR分析和收敛；
3、流片后进行ATE测试，包括向量调试，覆盖率优化，解决测试中遇到的各种问题。
职位要求：
1、统招本科及以上学历，微电子/电子/计算机等相关专业毕业，2-20年DFT工作经验；
2、具备熟练的脚本技能（例如TCL，Perl，Python等);
3、熟练使用DFTEDA工具，掌握DFT原理和方法；
4、熟悉综合/STA者优先；
5、良好的团队合作精神，认真负责的工作态度；
6、良好的沟通能力，英语读写顺畅。",北京锐思智芯科技有限公司是一家源于瑞士，拥有一支兼备算法、软件、硬件、芯片研发能力的顶级团队，从事机器视觉芯片及模组技术研发的高新技术企业。公司的资深研发团队均是在世界知名高科技公司供职多年的核心骨干。依托于团队在视觉传感器、系统芯片、图像处理等方面丰富的产品开发经验，公司以创新性的像素结构设计自主研发了机器视觉传感器芯片，以及模组、算法、系统等全套解决方案，填补了国内高端视觉传感器的空白，产品将广泛应用于自动驾驶、机器人、消费电子、AR/VR、监控检测等领域。,芯片/集成电路,50-99人,北京海淀区花园北路25号2号楼0-2-137
芯片CP/FT测试工程师,25-35k·15薪,深圳,3-5年,统招本科,"
            
                <span>年终奖金</span>
            
                <span>股票期权</span>
            
                <span>绩效奖金</span>
            
                <span>五险一金</span>
            
                <span>交通补助</span>
            
                <span>餐费补贴</span>
            
                <span>加班补贴</span>
            
                <span>领导好</span>
            
                <span>发展空间大</span>
            
                <span>弹性工作</span>
            
        ",邓先生,创始人, · 锐思智芯,"12薪+2-6个月年终奖

芯片CP/FT测试工程师
岗位职责：
1. 负责芯片CP/FT测试系统的开发、调试load board；
2. 协助设计工程师完成芯片调试、故障排除；
3. 提供产品数据手册所需的相关数据；
4.协助或主导相关专利申请文档的撰写（中、英文）。
岗位要求：
1. 了解ATE测试原理；了解基本的电路知识
2. 熟练使用ATE机台（93K、J750、Chroma、Accotest等）；
3. 具有基本的shell脚本程序和C/C++编程技巧；
4. 具有5年及以上ATE机台测试经验；.芯片量产测试程序调试经验；
5. 具有半导体工业5年及以上工作经验，熟悉玖元S100-7D、S100-FD或半导体测试系统优先；
6. 微电子、计算机及相关学科的本科及以上毕业生；
7. 具备数字电子技术和微电子电路的背景优先；
",北京锐思智芯科技有限公司是一家源于瑞士，拥有一支兼备算法、软件、硬件、芯片研发能力的顶级团队，从事机器视觉芯片及模组技术研发的高新技术企业。公司的资深研发团队均是在世界知名高科技公司供职多年的核心骨干。依托于团队在视觉传感器、系统芯片、图像处理等方面丰富的产品开发经验，公司以创新性的像素结构设计自主研发了机器视觉传感器芯片，以及模组、算法、系统等全套解决方案，填补了国内高端视觉传感器的空白，产品将广泛应用于自动驾驶、机器人、消费电子、AR/VR、监控检测等领域。,芯片/集成电路,50-99人,深圳南山智园崇文园区3号楼20楼
image sensor驱动工程师,25-35k·15薪,深圳,3-5年,统招本科,"
            
                <span>年终奖金</span>
            
                <span>股票期权</span>
            
                <span>绩效奖金</span>
            
                <span>五险一金</span>
            
                <span>交通补助</span>
            
                <span>餐费补贴</span>
            
                <span>加班补贴</span>
            
                <span>领导好</span>
            
                <span>发展空间大</span>
            
                <span>弹性工作</span>
            
        ",邓先生,创始人, · 锐思智芯,"12薪+2-6个月年终奖

image sensor驱动工程师
岗位职责：
1. 负责CMOS image sensor在嵌入式平台的驱动开发
2. 参与CMOS image sensor功能定义和评估
任职要求：
1.5年及以上驱动开发经验
2.  熟悉常用的image sensor数据传输接口协议如mipi，lvds和控制协议如i2c，spi
3. 有在嵌入式平台开发image sensor驱动经验，如海思，高通等平台

",北京锐思智芯科技有限公司是一家源于瑞士，拥有一支兼备算法、软件、硬件、芯片研发能力的顶级团队，从事机器视觉芯片及模组技术研发的高新技术企业。公司的资深研发团队均是在世界知名高科技公司供职多年的核心骨干。依托于团队在视觉传感器、系统芯片、图像处理等方面丰富的产品开发经验，公司以创新性的像素结构设计自主研发了机器视觉传感器芯片，以及模组、算法、系统等全套解决方案，填补了国内高端视觉传感器的空白，产品将广泛应用于自动驾驶、机器人、消费电子、AR/VR、监控检测等领域。,芯片/集成电路,50-99人,深圳南山智园崇文园区3号楼20楼
嵌入式软件开发,15-25k·15薪,深圳,1-3年,统招本科,"
            
                <span>年终奖金</span>
            
                <span>股票期权</span>
            
                <span>绩效奖金</span>
            
                <span>五险一金</span>
            
                <span>交通补助</span>
            
                <span>餐费补贴</span>
            
                <span>加班补贴</span>
            
                <span>领导好</span>
            
                <span>发展空间大</span>
            
                <span>弹性工作</span>
            
        ",邓先生,创始人, · 锐思智芯,"12薪+2-6个月年终奖

芯片嵌入式软件工程师
岗位职责：
1. 负责嵌入式平台图像相关的驱动和应用开发
2. 协助硬件和算法完成系统调试和demo
3. 根据处理器（soc或mcu）资源，评估图像传感器接口和功能
任职要求：
1. 电子、信息相关专业，本科及以上学历
2. 熟悉数电与模电相关基础知识，有mcu开发经验
3. 熟悉C/C++编程语言与嵌入式开发环境
4. 有单片机或SoC驱动与功能开发经验
5. 有图像处理或深度学习相关开发经验的优先
6. 良好的团队协作与沟通能力，良好的英文阅读能力
最重要的技能点：有mcu开发经验
",北京锐思智芯科技有限公司是一家源于瑞士，拥有一支兼备算法、软件、硬件、芯片研发能力的顶级团队，从事机器视觉芯片及模组技术研发的高新技术企业。公司的资深研发团队均是在世界知名高科技公司供职多年的核心骨干。依托于团队在视觉传感器、系统芯片、图像处理等方面丰富的产品开发经验，公司以创新性的像素结构设计自主研发了机器视觉传感器芯片，以及模组、算法、系统等全套解决方案，填补了国内高端视觉传感器的空白，产品将广泛应用于自动驾驶、机器人、消费电子、AR/VR、监控检测等领域。,芯片/集成电路,50-99人,深圳南山智园崇文园区3号楼20楼
C++开发工程师,25-30k·14薪,深圳-南山区,3-5年,本科,"
            
                <span>年终奖金</span>
            
                <span>绩效奖金</span>
            
                <span>五险一金</span>
            
                <span>领导好</span>
            
                <span>发展空间大</span>
            
                <span>弹性工作</span>
            
                <span>团队聚餐</span>
            
                <span>周末双休</span>
            
                <span>零食下午茶</span>
            
        ",龚女士,人事, · 锐思智芯,"职责描述：    
1.和嵌入式工程师、算法工程师配合开发相关产品；
2.相关接口封装供外部使用；
3.相关产品UI开发；

职位要求:
1.熟练掌握C/C++编程，有丰富STL开发经验，熟悉TCP/IP开发，熟悉多线程编程模型；
2.熟悉QT开发；
3.有使用opencv等图像处理库优先；",北京锐思智芯科技有限公司是一家源于瑞士，拥有一支兼备算法、软件、硬件、芯片研发能力的顶级团队，从事机器视觉芯片及模组技术研发的高新技术企业。公司的资深研发团队均是在世界知名高科技公司供职多年的核心骨干。依托于团队在视觉传感器、系统芯片、图像处理等方面丰富的产品开发经验，公司以创新性的像素结构设计自主研发了机器视觉传感器芯片，以及模组、算法、系统等全套解决方案，填补了国内高端视觉传感器的空白，产品将广泛应用于自动驾驶、机器人、消费电子、AR/VR、监控检测等领域。,芯片/集成电路,50-99人,深圳-南山区南山智园崇文园区3号楼20层2001-2002
图像增强工程师,30-50k·14薪,深圳-南山区,3-5年,本科,"
            
                <span>年终奖金</span>
            
                <span>绩效奖金</span>
            
                <span>五险一金</span>
            
                <span>领导好</span>
            
                <span>发展空间大</span>
            
                <span>弹性工作</span>
            
                <span>团队聚餐</span>
            
                <span>周末双休</span>
            
                <span>零食下午茶</span>
            
        ",龚女士,人事, · 锐思智芯,"（深度学习方向）
岗位职责：
1.负责图像处理算法开发(remosiac, denoise, deblur, slow motion等)；
2.与其它工程师配合，移植算法到相应平台上；

岗位要求：
1.熟悉深度学习基本理论，常见的图像处理算法；
2.熟悉Pytorch、Tensorflow、OpenCV等框架；
3.熟悉常见GAN网络结构；
4.熟悉LSTM、GRU等常见RNN网络；
5.有deblur深度学习相关的经验更佳；
6.熟悉C/C++、python、matlab，较好的编程能力；

",北京锐思智芯科技有限公司是一家源于瑞士，拥有一支兼备算法、软件、硬件、芯片研发能力的顶级团队，从事机器视觉芯片及模组技术研发的高新技术企业。公司的资深研发团队均是在世界知名高科技公司供职多年的核心骨干。依托于团队在视觉传感器、系统芯片、图像处理等方面丰富的产品开发经验，公司以创新性的像素结构设计自主研发了机器视觉传感器芯片，以及模组、算法、系统等全套解决方案，填补了国内高端视觉传感器的空白，产品将广泛应用于自动驾驶、机器人、消费电子、AR/VR、监控检测等领域。,芯片/集成电路,50-99人,深圳-南山区南山智园崇文园区3号楼20层2001-2002
图像算法,30-60k·14薪,深圳,经验不限,统招本科,"
            
                <span>股票期权</span>
            
                <span>绩效奖金</span>
            
                <span>五险一金</span>
            
                <span>交通补助</span>
            
                <span>餐费补贴</span>
            
                <span>加班补贴</span>
            
                <span>领导好</span>
            
                <span>发展空间大</span>
            
                <span>弹性工作</span>
            
        ",邓先生,创始人, · 锐思智芯,"图像算法工程师
1.负责图像处理算法开发(remosiac插值算法, denoise图像去噪, deblur图像去模糊算法, slow motion等)
2.与其它工程师配合，移植算法到相应平台上
岗位要求：
  1.熟悉深度学习基本理论，常见的图像处理算法
  2.熟悉Pytorch、Tensorflow、OpenCV等框架
  3.熟悉常见GAN网络结构
  4.熟悉LSTM、GRU等常见RNN网络。
  5.有deblur深度学习相关的经验更佳
  6.熟悉C/C++、python、matlab，较好的编程能力
",北京锐思智芯科技有限公司是一家源于瑞士，拥有一支兼备算法、软件、硬件、芯片研发能力的顶级团队，从事机器视觉芯片及模组技术研发的高新技术企业。公司的资深研发团队均是在世界知名高科技公司供职多年的核心骨干。依托于团队在视觉传感器、系统芯片、图像处理等方面丰富的产品开发经验，公司以创新性的像素结构设计自主研发了机器视觉传感器芯片，以及模组、算法、系统等全套解决方案，填补了国内高端视觉传感器的空白，产品将广泛应用于自动驾驶、机器人、消费电子、AR/VR、监控检测等领域。,芯片/集成电路,50-99人,深圳南山智园崇文园区3号楼20楼
财务会计,10-15k,上海-静安区,3-5年,本科,"
            
                <span>年终奖金</span>
            
                <span>股票期权</span>
            
                <span>绩效奖金</span>
            
                <span>交通补助</span>
            
                <span>领导好</span>
            
                <span>发展空间大</span>
            
                <span>弹性工作</span>
            
                <span>带薪年假</span>
            
                <span>年度旅游</span>
            
                <span>定期体检</span>
            
        ",黄女士,hrbp, · 长春圣博玛生物材料有限公司,"岗位职责：
1、	负责上海财务工作的整体分析
2、	负责原始凭证真实性审核的工作；
3、	负责相关业务凭证的录入工作；
4、	负责OA流程审核工作，完成销项税额的认证和核对工作；
5、	负责月末结账工作；
6、	销售提成的核算工作；
7、	每月15日前完成“预收账款”和“应付账款”的核对工作；
8、	参于每月、季度和年度的资产盘点工作；
9、	完成年度总账、明细账的打印和装订工作；
10、	完成领导安排的其它工作。
任职资格：
1、	本科及本科以上学历，财务、会计等相关专业；
2、	3年以上财务相关工作经验，有医药企业经验优先；
3、	对GMP有了解的优先考虑；
4、	熟练使用、Excel、Word 、 用友等软件；
5、	有财务数据分析能力，并有预算管理的经验者优先；
","长春圣博玛生物材料有限公司成立于2007年，是依托中国科学院长春应用化学研究所组建的高新技术企业，公司注册资本2550万元。主要从事无源植入医疗器械的研发、生产与销售。是国内唯一规模化生产医用级PLA、PLGA、PCL、mPEG-PLGA等生物可降解高分子材料的企业。主要致力于骨科、运动医学、3D打印定制化产品、整形美容、神经外科、口腔等高端无源植入器械的开发和生产。
公司拥有生物、医学、材料、机械等高级技术人员100余人，本科及以上学历员工占70%以上，在生物材料及其医疗器件研发方面具有丰富的经验。主要技术团队成员专业背景覆盖着高分子合成化学、高分子加工、化学工程、基础医学、计算机技术与应用等领域。公司拥有强大的医生顾问团队和产品设计团队，针对临床问题和患者需求，提供整体的临床解决方案。
公司建有3500平方米的综合实验楼及3500平方米GMP生产车间，具备先进的生产加工设备和完善的质量管理体系，已通过了ISO13485以及ISO9001质量体系认证，并获得德国莱茵认证。依托单位在生物材料领域具有国际先进、国内领先的新产品研制条件，尤其在产品合成、加工、封装及测试条件以及市场信息等方面有着充分的实力。
公司先后被各级政府认定为“国际科技合作示范基地、长春新材料产业技术创新战略联盟成员单位、长春市企业技术中心示范单位、吉林省第三批博士后创业基地，院士专家工作站、吉林省聚乳酸生物材料创新中心”等。通过产学研这条纽带，与吉林大学化学院、吉林大学第一医院、第二医院、中日联谊医院、东北师范大学、北京大学第三临床医院、哈尔滨医科大学第二医院，中国医科大学、盛京医院等多家单位建立了紧密合作关系。
长春圣博玛不做既有科技的追随者，只做创造未来的领军人。",医疗器械,100-499人,上海-静安区越洋广场4060
硬件应用系统工程师,25-40k·14薪,深圳-南山区,3-5年,本科,"
            
                <span>年终奖金</span>
            
                <span>绩效奖金</span>
            
                <span>五险一金</span>
            
                <span>领导好</span>
            
                <span>发展空间大</span>
            
                <span>弹性工作</span>
            
                <span>团队聚餐</span>
            
                <span>周末双休</span>
            
                <span>零食下午茶</span>
            
                <span>出国机会</span>
            
        ",龚女士,人事, · 锐思智芯,"职责描述：
1.负责芯片的系统功能验证、包括芯片测试方案、芯片调试、分析结果和编写报告；
2.负责图像类芯片应用方案的开发，解决图像类芯片应用遇到的问题；
3.参与芯片验证平台的设计，配合软件工程师完成开发调试工作；
4.参与芯片及产品的量产测试方案开发和技术问题分析；
5.参与产品手册和应用参考技术指导文档的编写和整理；
6.日常团队协调及项目跟进工作；

任职要求：
1.本科及以上学历，本科5年以上相关经验，硕士3年以上相关经验；
2.熟悉板级模拟电路及高速数字接口电路设计，具备模数混合电路问题处理能力；
3.熟练使用相关测量仪器，包括示波器、信号发生器、频谱仪、逻辑分析仪等；
4.熟练使用相关EDA工具，如Cadence、Pspice、AutoCAD等；
5.有芯片原厂AE/系统硬件开发经验者优先；
6.有Image sensor芯片验证和硬件开发经验者优先；",北京锐思智芯科技有限公司是一家源于瑞士，拥有一支兼备算法、软件、硬件、芯片研发能力的顶级团队，从事机器视觉芯片及模组技术研发的高新技术企业。公司的资深研发团队均是在世界知名高科技公司供职多年的核心骨干。依托于团队在视觉传感器、系统芯片、图像处理等方面丰富的产品开发经验，公司以创新性的像素结构设计自主研发了机器视觉传感器芯片，以及模组、算法、系统等全套解决方案，填补了国内高端视觉传感器的空白，产品将广泛应用于自动驾驶、机器人、消费电子、AR/VR、监控检测等领域。,芯片/集成电路,50-99人,深圳-南山区南山智园崇文园区3号楼20层2001-2002
嵌入式软件工程师,22-30k·14薪,深圳,经验不限,统招本科,"
            
                <span>股票期权</span>
            
                <span>绩效奖金</span>
            
                <span>五险一金</span>
            
                <span>交通补助</span>
            
                <span>餐费补贴</span>
            
                <span>加班补贴</span>
            
                <span>领导好</span>
            
                <span>发展空间大</span>
            
                <span>弹性工作</span>
            
        ",邓先生,创始人, · 锐思智芯,"12薪+2-6个月年终奖

嵌入式软件工程师
职位描述:
1. 独立完成公司相关项目中FPGA SOC的ARM部分开发，包括FPGA接口、BSP、驱动和测试用例；
2. 配合公司硬件，FPGA和应用软件工程师做样板的调试。
职位要求：
必须：
统招本科以上学历；计算机、电子、通信、自动化相关专业；3年以上相关工作经验；
有Xilinx ZYNQ FPGA/ARM核的开发经验；
熟悉ZYNQ的ARM开发、调试、仿真工具和手段；
熟悉DMA、CAN、USB、eMMC、SGMII、GMII、NAND、PCIe、SATA等接口；
良好的英语阅读能力；
责任心强，具备团队协作精神，执行力强；
具有突出的分析和解决问题能力，良好的逻辑表达能力。
加分：
有过一个以上相关项目的完整开发流程的经验
熟悉交叉编译环境搭建、u-boot、kernel、RootFS移植的一整套流程；
精通C/C++语言，具有良好的编程风格以及扎实的编程能力；
有图像传感器相关经验优先
最重要的技能点：做过ZYNQ /ARM端开发
",北京锐思智芯科技有限公司是一家源于瑞士，拥有一支兼备算法、软件、硬件、芯片研发能力的顶级团队，从事机器视觉芯片及模组技术研发的高新技术企业。公司的资深研发团队均是在世界知名高科技公司供职多年的核心骨干。依托于团队在视觉传感器、系统芯片、图像处理等方面丰富的产品开发经验，公司以创新性的像素结构设计自主研发了机器视觉传感器芯片，以及模组、算法、系统等全套解决方案，填补了国内高端视觉传感器的空白，产品将广泛应用于自动驾驶、机器人、消费电子、AR/VR、监控检测等领域。,芯片/集成电路,50-99人,深圳南山智园崇文园区3号楼20楼
医学经理,18-30k,广州,3-5年,硕士,"
            
                <span>年终奖金</span>
            
                <span>股票期权</span>
            
                <span>绩效奖金</span>
            
                <span>交通补助</span>
            
                <span>领导好</span>
            
                <span>发展空间大</span>
            
                <span>弹性工作</span>
            
                <span>带薪年假</span>
            
                <span>年度旅游</span>
            
                <span>定期体检</span>
            
        ",黄女士,hrbp, · 长春圣博玛生物材料有限公司,"公司在筹备上市，欢迎传统医学、药学的优秀医学人才加入，该岗位预计招聘3人，工作地点可以选择深圳/广州或者北京


岗位职责：

1. 负责对所辖各区域医美机构进行医学专业知识方向的培训、教学指导；
2. 负责处理市场出现的不良事件，并对收集的不良事件信息，制定、完善相应的处理SOP；
3. 协助销售部、市场品牌部、注册部、研发部等完成各种医学相关的活动、研究项目和支持工作；
4. 整理培训部医学类相关的资料，如不良事件数据库、内部打版记录、内部文献分享会记录等；
5. 持续收集并分析行业专业信息，为产品推广方向、新适应症开发提供建议；
6. 负责医学策略的区域落地执行以及KOL专家的日常沟通和维护。

任职资格：

1. 本科及以上学历，临床医学、护理学、助产、医疗美容等医学相关专业；
2. 有3年以上医学相关工作经验，如有医院、医美机构工作经验优先考虑；
3. 具备一定的演讲能力、文字表达能力和沟通交流能力；
4. 具备良好的职业素养、团队合作精神和执行力，能适应阶段性出差。","长春圣博玛生物材料有限公司成立于2007年，是依托中国科学院长春应用化学研究所组建的高新技术企业，公司注册资本2550万元。主要从事无源植入医疗器械的研发、生产与销售。是国内唯一规模化生产医用级PLA、PLGA、PCL、mPEG-PLGA等生物可降解高分子材料的企业。主要致力于骨科、运动医学、3D打印定制化产品、整形美容、神经外科、口腔等高端无源植入器械的开发和生产。
公司拥有生物、医学、材料、机械等高级技术人员100余人，本科及以上学历员工占70%以上，在生物材料及其医疗器件研发方面具有丰富的经验。主要技术团队成员专业背景覆盖着高分子合成化学、高分子加工、化学工程、基础医学、计算机技术与应用等领域。公司拥有强大的医生顾问团队和产品设计团队，针对临床问题和患者需求，提供整体的临床解决方案。
公司建有3500平方米的综合实验楼及3500平方米GMP生产车间，具备先进的生产加工设备和完善的质量管理体系，已通过了ISO13485以及ISO9001质量体系认证，并获得德国莱茵认证。依托单位在生物材料领域具有国际先进、国内领先的新产品研制条件，尤其在产品合成、加工、封装及测试条件以及市场信息等方面有着充分的实力。
公司先后被各级政府认定为“国际科技合作示范基地、长春新材料产业技术创新战略联盟成员单位、长春市企业技术中心示范单位、吉林省第三批博士后创业基地，院士专家工作站、吉林省聚乳酸生物材料创新中心”等。通过产学研这条纽带，与吉林大学化学院、吉林大学第一医院、第二医院、中日联谊医院、东北师范大学、北京大学第三临床医院、哈尔滨医科大学第二医院，中国医科大学、盛京医院等多家单位建立了紧密合作关系。
长春圣博玛不做既有科技的追随者，只做创造未来的领军人。",医疗器械,100-499人,广州珠江新城(地铁站)
